,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
151,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004040001,非控股权益应占全面收益总额,382382000.0
152,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,5525864000.0
153,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004099999,非运算项目,71934000.0
154,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004001001,营业额,90194924000.0
155,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004001999,营运收入,90194924000.0
156,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004005002,销售成本,74794362000.0
157,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004007999,毛利,15400562000.0
158,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010001,其他收入,2135396000.0
159,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010003,销售及分销费用,371206000.0
160,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010004,行政开支,3867211000.0
161,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010006,重估盈余,397683000.0
162,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010007,出售资产之溢利,-648772000.0
163,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010012,其他支出,706916000.0
164,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010999,经营溢利,12339536000.0
165,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004011201,融资成本,4433389000.0
166,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004011202,应占联营公司溢利,429545000.0
167,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004011999,除税前溢利,8335692000.0
168,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004012001,税项,2549440000.0
169,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004012999,除税后溢利,5786252000.0
170,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004025001,少数股东损益,378830000.0
171,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004025002,股东应占溢利,5407422000.0
